"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","num_11","num_21","num_22","num_32","num_33","num_43","num_44","num_54","num_55","num_65","num_66","num_76","num_77","num_87","num_88","num_98","num_99","num_UU","num_XX","all_grades","perc_UU","perc_11","perc_21","perc_22","perc_32","perc_33","perc_43","perc_44","perc_54","perc_55","perc_65","perc_66","perc_76","perc_77","perc_87","perc_88","perc_98","perc_99","perc_XX"
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Less than 80",724,691,561,432,292,216,100,87,70,19,13,14,6,5,3,3,3,537,98,3874,13.9,18.7,17.8,14.5,11.2,7.5,5.6,2.6,2.2,1.8,0.5,0.3,0.4,0.2,0.1,0.1,0.1,0.1,2.5
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","80 - 89.5",2510,3263,3279,2348,1491,798,302,174,149,31,23,12,9,7,3,1,2,1733,423,16558,10.5,15.2,19.7,19.8,14.2,9,4.8,1.8,1.1,0.9,0.2,0.1,0.1,0.1,0,0,0,0,2.6
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","90 - 95.5",2237,3752,5821,6736,6037,4224,2000,1355,925,205,146,97,55,23,11,8,4,1587,625,35848,4.4,6.2,10.5,16.2,18.8,16.8,11.8,5.6,3.8,2.6,0.6,0.4,0.3,0.2,0.1,0,0,0,1.7
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","96 - 99.5",1454,2515,4503,7175,9161,9000,5582,4083,3215,874,632,366,180,100,60,20,14,1377,616,50927,2.7,2.9,4.9,8.8,14.1,18,17.7,11,8,6.3,1.7,1.2,0.7,0.4,0.2,0.1,0,0,1.2
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","100 - 102",832,1427,2709,4921,7339,9242,7024,6042,5578,1790,1342,874,431,232,115,47,35,1054,483,51517,2,1.6,2.8,5.3,9.6,14.2,17.9,13.6,11.7,10.8,3.5,2.6,1.7,0.8,0.5,0.2,0.1,0.1,0.9
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","102.5 - 104.5",639,1096,2221,4016,6788,10018,9279,9195,9013,3718,2834,1958,972,652,318,137,92,1227,551,64724,1.9,1,1.7,3.4,6.2,10.5,15.5,14.3,14.2,13.9,5.7,4.4,3,1.5,1,0.5,0.2,0.1,0.9
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","105 - 107",440,743,1442,2553,4706,8102,8785,9846,10869,5592,4563,3568,1969,1212,713,354,220,1063,414,67154,1.6,0.7,1.1,2.1,3.8,7,12.1,13.1,14.7,16.2,8.3,6.8,5.3,2.9,1.8,1.1,0.5,0.3,0.6
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","107.5 - 109.5",190,271,572,1184,2168,4219,5313,6543,8348,5571,5098,4088,2521,1821,1208,649,457,641,297,51159,1.3,0.4,0.5,1.1,2.3,4.2,8.2,10.4,12.8,16.3,10.9,10,8,4.9,3.6,2.4,1.3,0.9,0.6
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","110 - 113",92,140,207,461,876,1983,2666,4021,5516,4377,4731,4428,2987,2548,1856,1221,1209,383,178,39880,1,0.2,0.4,0.5,1.2,2.2,5,6.7,10.1,13.8,11,11.9,11.1,7.5,6.4,4.7,3.1,3,0.4
"202223","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","113.5 - 116.5",13,21,25,58,119,304,473,777,1254,1176,1466,1589,1307,1279,1112,906,1231,75,52,13237,0.6,0.1,0.2,0.2,0.4,0.9,2.3,3.6,5.9,9.5,8.9,11.1,12,9.9,9.7,8.4,6.8,9.3,0.4
